1.666667   0.300000 
 9.8949491e-01    1.1222971e+00    1.9040755e-02 
 9.9857284e-01    1.1239962e+00    1.8803405e-02 
 1.0076508e+00    1.1256891e+00    1.8566374e-02 
 1.0167287e+00    1.1273752e+00    1.8329710e-02 
 1.0258066e+00    1.1290538e+00    1.8093463e-02 
 1.0348846e+00    1.1307245e+00    1.7857679e-02 
 1.0439625e+00    1.1323866e+00    1.7622406e-02 
 1.0530405e+00    1.1340395e+00    1.7387690e-02 
 1.0621184e+00    1.1356826e+00    1.7153578e-02 
 1.0711963e+00    1.1373153e+00    1.6920115e-02 
 1.0802743e+00    1.1389371e+00    1.6687347e-02 
 1.0893522e+00    1.1405474e+00    1.6455318e-02 
 1.0984301e+00    1.1421455e+00    1.6224073e-02 
 1.1075081e+00    1.1437310e+00    1.5993653e-02 
 1.1165860e+00    1.1453032e+00    1.5764104e-02 
 1.1256639e+00    1.1468616e+00    1.5535465e-02 
 1.1347419e+00    1.1484056e+00    1.5307780e-02 
 1.1438198e+00    1.1499347e+00    1.5081088e-02 
 1.1528977e+00    1.1514482e+00    1.4855430e-02 
 1.1619757e+00    1.1529458e+00    1.4630845e-02 
 1.1710536e+00    1.1544268e+00    1.4407371e-02 
 1.1801315e+00    1.1558906e+00    1.4185048e-02 
 1.1892095e+00    1.1573369e+00    1.3963911e-02 
 1.1982874e+00    1.1587650e+00    1.3743998e-02 
 1.2073653e+00    1.1601745e+00    1.3525344e-02 
 1.2164433e+00    1.1615649e+00    1.3307984e-02 
 1.2255212e+00    1.1629356e+00    1.3091951e-02 
 1.2345991e+00    1.1642863e+00    1.2877280e-02 
 1.2436771e+00    1.1656164e+00    1.2664002e-02 
 1.2527550e+00    1.1669255e+00    1.2452150e-02 
 1.2618330e+00    1.1682132e+00    1.2241753e-02 
 1.2709109e+00    1.1694790e+00    1.2032842e-02 
 1.2799888e+00    1.1707225e+00    1.1825447e-02 
 1.2890668e+00    1.1719433e+00    1.1619594e-02 
 1.2981447e+00    1.1731410e+00    1.1415312e-02 
 1.3072226e+00    1.1743153e+00    1.1212627e-02 
 1.3163006e+00    1.1754657e+00    1.1011564e-02 
 1.3253785e+00    1.1765919e+00    1.0812149e-02 
 1.3344564e+00    1.1776936e+00    1.0614405e-02 
 1.3435344e+00    1.1787705e+00    1.0418355e-02 
 1.3526123e+00    1.1798222e+00    1.0224021e-02 
 1.3616902e+00    1.1808484e+00    1.0031424e-02 
 1.3707682e+00    1.1818489e+00    9.8405849e-03 
 1.3798461e+00    1.1828235e+00    9.6515229e-03 
 1.3889240e+00    1.1837718e+00    9.4642564e-03 
